"stressors","treatment","treatment_J","treatment_F","effect1","cilow1","cihigh1","effect2","cilow2","cihigh2","number"
"NaCu",0,-0.15,"0",-2.23510939267022,-0.127661774017697,-4.34255701132274,-2.23510939267022,-0.127661774017697,-4.34255701132274,"SC"
"NaTemp",0,-0.05,"0",-1.07350180698032,0.921478482610858,-3.06848209657149,-1.07350180698032,0.921478482610858,-3.06848209657149,"ST"
"CuTemp",0,0.05,"0",-1.24998568875956,0.757294518352427,-3.25726589587155,-1.24998568875956,0.757294518352427,-3.25726589587155,"CT"
"All",0,0.15,"0",-1.29929532416971,0.928737819057036,-3.52732846739646,-1.29929532416971,0.928737819057036,-3.52732846739646,"SCT"
"NaCu",1,0.85,"1",1.20173828141086,3.36507077146785,-0.961594208646142,-2.27302178652093,-0.0768120341965379,-4.46923153884531,"SC"
"NaTemp",1,0.95,"1",0.598833477971046,2.65009003314494,-1.45242307720285,-4.24840911808977,-1.70420680890927,-6.79261142727027,"ST"
"CuTemp",1,1.05,"1",2.91962046620249,5.2116247126636,0.627616219741374,-2.96942689791983,-0.755800821308003,-5.18305297453166,"CT"
"All",1,1.15,"1",3.71166013920695,6.26408192798718,1.15923835042671,-4.04234115275407,-1.51818907088109,-6.56649323462706,"SCT"
